epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,381.728,1.67875,1.36665,0.92071,0.85485,0.69367,0.78243,0.43786,1.67322,1.30543,0.93773,0.000666426,0.000666426,0.000666426
1,135.576,1.54179,1.35403,0.91496,0.83046,0.68928,0.77349,0.41631,1.66102,1.31369,0.93756,0.000665706,0.000665706,0.000665706
2,236.009,1.39753,0.79571,0.889,0.85353,0.71891,0.79018,0.47661,1.55308,1.18375,0.9156,0.00120047,0.00120047,0.00120047
3,334.901,1.34039,0.72003,0.88057,0.81121,0.66758,0.74511,0.34876,1.90618,1.33532,0.95985,0.00160323,0.00160323,0.00160323
4,435.62,1.28848,0.67554,0.87339,0.86216,0.70326,0.78583,0.49358,1.52421,1.23101,0.91126,0.001406,0.001406,0.001406
5,535.991,1.24604,0.63659,0.87007,0.87017,0.77513,0.83346,0.52595,1.4655,1.15019,0.8976,0.001208,0.001208,0.001208
6,636.615,1.21221,0.60778,0.86201,0.86498,0.72166,0.79247,0.49687,1.48689,1.26436,0.90168,0.00101,0.00101,0.00101
7,735.787,1.18104,0.57583,0.85738,0.87398,0.76031,0.82794,0.53117,1.45653,1.08875,0.90119,0.000812,0.000812,0.000812
8,840.138,1.13906,0.55402,0.85107,0.89365,0.7597,0.8329,0.5446,1.44678,1.11963,0.8922,0.000614,0.000614,0.000614
9,941.234,1.10415,0.52426,0.84577,0.90619,0.76732,0.83981,0.55275,1.42024,1.08825,0.88749,0.000416,0.000416,0.000416
10,1042.92,1.07415,0.50484,0.8398,0.90849,0.75603,0.83255,0.55951,1.39988,1.10621,0.89035,0.000218,0.000218,0.000218
