epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.573,1.42707,1.41354,0.95058,0.83635,0.73463,0.78801,0.48295,1.4627,1.28429,0.99172,0.000664745,0.000664745,0.000664745
2,241.702,1.30294,0.77879,0.93193,0.87856,0.76919,0.83675,0.54296,1.38826,1.09517,0.98339,0.00126551,0.00126551,0.00126551
3,359.368,1.26955,0.70428,0.92551,0.87507,0.75619,0.83067,0.53971,1.40213,1.10955,0.98321,0.00180027,0.00180027,0.00180027
4,476.763,1.23469,0.67062,0.91536,0.8614,0.75099,0.82754,0.51489,1.45519,1.14678,0.977,0.001703,0.001703,0.001703
5,595.537,1.19478,0.62981,0.9095,0.88558,0.75318,0.83247,0.53815,1.41248,1.07,0.97968,0.001604,0.001604,0.001604
6,713.509,1.16466,0.60541,0.90169,0.81786,0.71204,0.76801,0.50188,1.44227,1.37852,0.98605,0.001505,0.001505,0.001505
7,831.344,1.14529,0.58623,0.90004,0.85148,0.74351,0.82256,0.54434,1.4174,1.21762,0.98442,0.001406,0.001406,0.001406
8,949.773,1.12983,0.56774,0.89589,0.89144,0.76383,0.84477,0.58557,1.33169,1.18823,0.95365,0.001307,0.001307,0.001307
9,1067.58,1.11286,0.55382,0.89338,0.89781,0.76581,0.84392,0.58417,1.33911,1.24132,0.96868,0.001208,0.001208,0.001208
10,1184.54,1.09296,0.53522,0.88759,0.89832,0.77878,0.8425,0.5898,1.2705,1.09049,0.94772,0.001109,0.001109,0.001109
11,1331.11,1.06509,0.52712,0.89987,0.89669,0.78964,0.8568,0.572,1.36856,1.11069,0.96153,0.00101,0.00101,0.00101
12,1448.06,1.04392,0.50628,0.89658,0.87019,0.74555,0.83073,0.57265,1.33265,1.21727,0.95096,0.000911,0.000911,0.000911
13,1564.89,1.02799,0.49631,0.89101,0.88667,0.77009,0.85476,0.58636,1.30092,0.99512,0.9467,0.000812,0.000812,0.000812
14,1682.29,1.01883,0.48475,0.88845,0.8861,0.79499,0.85773,0.60765,1.27115,1.06862,0.93518,0.000713,0.000713,0.000713
15,1801.08,1.00611,0.47629,0.88847,0.87199,0.76489,0.841,0.59395,1.27797,1.22928,0.94142,0.000614,0.000614,0.000614
16,1917.5,0.99114,0.46407,0.88213,0.87304,0.78682,0.83643,0.58612,1.28029,1.13883,0.9394,0.000515,0.000515,0.000515
17,2038.94,0.97587,0.45287,0.88082,0.88896,0.80104,0.86252,0.60639,1.27958,1.02485,0.94273,0.000416,0.000416,0.000416
18,2162.38,0.96064,0.4425,0.88066,0.90291,0.78705,0.85925,0.61256,1.2755,1.06462,0.93975,0.000317,0.000317,0.000317
19,2282.8,0.94188,0.43307,0.87301,0.90275,0.78445,0.85469,0.60718,1.2734,1.10742,0.93457,0.000218,0.000218,0.000218
20,2404.52,0.93261,0.42263,0.87222,0.89153,0.79255,0.85567,0.60935,1.26843,1.1111,0.93487,0.000119,0.000119,0.000119
